This list contains all games supported by FB Alpha.

5033 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| g_advanc	| D NW	| Advanced Busterhawk Gleylancer (Japan)		| 		| 1900	| Sega License	| Megadrive	| 					|
| g_advdai	| D NW	| Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan)| 		| 	| Sega License	| Megadrive	| 					|
| hatena	|  	| Adventure Quiz 2 Hatena Hatena no Dai-Bouken (Japan 90| 		| 1990	| Capcom	| Miscellaneous	| 					|
| g_advent	|  	| Adventures of Batman & Robin, The (Europe)		| 		| 1995	| Sega License	| Megadrive	| 					|
| g_adven2	| D NW	| Adventures of Batman & Robin, The (Prototype - Apr 06,| g_advent	| 	| Sega License	| Megadrive	| 					|
| g_adven3	| D NW	| Adventures of Batman & Robin, The (Prototype - Apr 10,| g_advent	| 	| Sega License	| Megadrive	| 					|
| g_adven4	| D NW	| Adventures of Batman & Robin, The (Prototype - Apr 11,| g_advent	| 	| Sega License	| Megadrive	| 					|
| g_adven5	| D NW	| Adventures of Batman & Robin, The (Prototype - Apr 18,| g_advent	| 	| Sega License	| Megadrive	| 					|
| g_adven6	| D NW	| Adventures of Batman & Robin, The (Prototype - Apr 19,| g_advent	| 	| Sega License	| Megadrive	| 					|
| g_adven7	| D NW	| Adventures of Batman & Robin, The (Prototype - Apr 21,| g_advent	| 	| Sega License	| Megadrive	| 					|
| g_adven8	| D NW	| Adventures of Batman & Robin, The (Prototype - Apr 22,| g_advent	| 	| Sega License	| Megadrive	| 					|
| g_adven9	| D NW	| Adventures of Batman & Robin, The (Prototype - Apr 24,| g_advent	| 	| Sega License	| Megadrive	| 					|
| g_adve10	| D NW	| Adventures of Batman & Robin, The (Prototype - Apr 26,| g_advent	| 	| Sega License	| Megadrive	| 					|
| g_adve11	| D NW	| Adventures of Batman & Robin, The (Prototype - Apr 27,| g_advent	| 	| Sega License	| Megadrive	| 					|
| g_adve12	| D NW	| Adventures of Batman & Robin, The (Prototype - Apr 28,| g_advent	| 	| Sega License	| Megadrive	| 					|
| g_adve13	| D NW	| Adventures of Batman & Robin, The (Prototype - May 01,| g_advent	| 	| Sega License	| Megadrive	| 					|
| g_adven1	|  	| Adventures of Batman & Robin, The (USA)		| g_advent	| 1995	| Sega License	| Megadrive	| 					|
| g_advemm	|  	| Adventures of Mighty Max, The (Europe)		| 		| 1994	| Sega License	| Megadrive	| 					|
| g_advem1	|  	| Adventures of Mighty Max, The (USA)			| g_advemm	| 1994	| Sega License	| Megadrive	| 					|
| g_adverb	| D NW	| Adventures of Rocky and Bullwinkle and Friends, The (U| 		| 1900	| Sega License	| Megadrive	| 					|
| g_adveby	| D NW	| Adventurous Boy - Mao Xian Xiao Zi (China) (Unl)	| 		| 	| Sega License	| Megadrive	| 					|
| g_aerobl	|  	| Aero Blasters (Japan)					| g_airbus	| 1991	| Sega License	| Megadrive	| 					|
| aerofgt	|  	| Aero Fighters						| 		| 1992	| Video System C| Video System	| 					|
| aerofgtb	|  	| Aero Fighters (Turbo Force hardware set 1)		| aerofgt	| 1992	| Video System C| Video System	| 					|
| aerofgtc	|  	| Aero Fighters (Turbo Force hardware set 2)		| aerofgt	| 1992	| Video System C| Video System	| 					|
| sonicwi2	|  	| Aero Fighters 2 / Sonic Wings 2			| 		| 1994	| Video System C| Neo Geo	| 					|
| sonicwi3	|  	| Aero Fighters 3 / Sonic Wings 3			| 		| 1995	| Video System C| Neo Geo	| 					|
| g_aerot1	| D NW	| Aero the Acro-Bat (Beta)				| g_aeroth	| 	| Sega License	| Megadrive	| 					|
| g_aeroth	|  	| Aero the Acro-Bat (Europe)				| 		| 1993	| Sega License	| Megadrive	| 					|
| g_aerot2	|  	| Aero the Acro-Bat (USA)				| g_aeroth	| 1993	| Sega License	| Megadrive	| 					|
| g_aero2	|  	| Aero the Acro-Bat 2 (Europe)				| 		| 1994	| Sega License	| Megadrive	| 					|
| g_aero2u	|  	| Aero the Acro-Bat 2 (USA)				| g_aero2	| 1994	| Sega License	| Megadrive	| 					|
| g_aerobi	|  	| Aerobiz (USA)						| 		| 1900	| Sega License	| Megadrive	| 					|
| g_aerobs	|  	| Aerobiz Supersonic (USA)				| 		| 1994	| Sega License	| Megadrive	| 					|
| aburner	|  	| After Burner (Japan)					| aburner2	| 1987	| Sega		| X-Board	| 					|
| aburner2	|  	| After Burner II					| 		| 1987	| Sega		| X-Board	| 					|
| g_abur2j	| D	| After Burner II (Japan)				| g_abur2	| 1990	| Sega License	| Megadrive	| Sound Problems			|
| g_abur2	| D	| After Burner II (USA, Europe)				| 		| 1990	| Sega License	| Megadrive	| Sound Problems			|
| superbon	|  	| Agent Super Bond (scobra hardware)			| 		| 1985	| Signaton USA	| Galaxian	| Bad Colours				|
| aodk		|  	| Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyok| 		| 1994	| ADK / SNK	| Neo Geo	| 					|
| agress	|  	| Agress						| 		| 1991	| Palco		| Miscellaneous	| 					|
| agressb	|  	| Agress (English bootleg)				| agress	| 2003	| Palco		| Miscellaneous	| 					|
| koshien	|  	| Ah Eikou no Koshien (Japan)				| 		| 1990	| Taito Corporat| Taito-F2	| 					|
| airattck	|  	| Air Attack (set 1)					| 		| 1996	| Comad		| NMK16		| 					|
| airattcka	|  	| Air Attack (set 2)					| airattck	| 1996	| Comad		| NMK16		| 					|
| g_airbus	|  	| Air Buster (USA)					| 		| 1991	| Sega License	| Megadrive	| 					|
| airbustrb	|  	| Air Buster: Trouble Specialty Raid Unit (bootleg)	| airbustr	| 1990	| bootleg	| Miscellaneous	| 					|
| airbustrj	|  	| Air Buster: Trouble Specialty Raid Unit (Japan)	| airbustr	| 1990	| Kaneko (Namco | Miscellaneous	| 					|
| airbustr	|  	| Air Buster: Trouble Specialty Raid Unit (World)	| 		| 1990	| Kaneko (Namco | Miscellaneous	| 					|
| g_airdvj	|  	| Air Diver (Japan)					| g_airdv	| 1900	| Sega License	| Megadrive	| 					|
| g_airdv	|  	| Air Diver (USA)					| 		| 1990	| Sega License	| Megadrive	| 					|
| airduel	|  	| Air Duel (Japan)					| 		| 1990	| Irem		| M72		| 					|
| agallet	|  	| Air Gallet (Europe)					| 		| 1996	| BanPresto / Ga| Cave		| 					|
| agalleth	|  	| Air Gallet (Hong Kong)				| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agalletj	|  	| Air Gallet (Japan)					| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agalletk	|  	| Air Gallet (Korea)					| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agallett	|  	| Air Gallet (Taiwan)					| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agalletu	|  	| Air Gallet (USA)					| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| g_airman	|  	| Air Management - Oozora ni Kakeru (Japan)		| g_aerobi	| 1900	| Sega License	| Megadrive	| 					|
| g_airmas	|  	| Air Management II - Koukuuou o Mezase (Japan)		| g_aerobs	| 1994	| Sega License	| Megadrive	| 					|
| airwolf	|  	| Airwolf						| 		| 1987	| Kyugo		| Kyugo		| 					|
| airwolfa	|  	| Airwolf (US)						| airwolf	| 1987	| Kyugo (UA Thea| Kyugo		| 					|
| ajax		|  	| Ajax							| 		| 1987	| Konami	| GX770		| 					|
| ajaxj		|  	| Ajax (Japan)						| ajax		| 1987	| Konami	| GX770		| 					|
| hcastljo	|  	| Akuma-Jou Dracula (Japan ver. N)			| hcastle	| 1988	| Konami	| Miscellaneous	| 					|
| hcastlej	|  	| Akuma-Jou Dracula (Japan ver. P)			| hcastle	| 1988	| Konami	| Miscellaneous	| 					|
| g_akumaj	| D NW	| Akumajou Dracula - Vampire Killer (Japan)		| g_cvania	| 1994	| Konami	| Megadrive	| 					|
| g_aladdi	|  	| Aladdin (Europe)					| 		| 1993	| Sega License	| Megadrive	| 					|
| g_aladd1	|  	| Aladdin (Japan)					| g_aladdi	| 1993	| Sega License	| Megadrive	| 					|
| g_aladd3	|  	| Aladdin (USA)						| g_aladdi	| 1993	| Sega License	| Megadrive	| 					|
| g_aladd2	|  	| Aladdin (USA) (Beta)					| g_aladdi	| 1993	| Sega License	| Megadrive	| 					|
| g_alad2	|  	| Aladdin II (Unl)					| 		| 19??	| Sega License	| Megadrive	| 					|
| alcon		|   NW	| Alcon (US)						| 		| 1986	| Taito America | Early Toaplan	| Protection MCU not emulated		|
| g_alexk2	|  	| Alex Kidd - Cheongong Maseong (Korea)			| g_alexkd	| 1989	| Sega License	| Megadrive	| 					|
